track_name	track_artist	track_popularity	track_album_name	track_album_release_date	playlist_name	playlist_id	dancebility	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	subgenre	genre
Haunted	The Band CAMINO	55	tryhard	2019-08-23	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	W0GBku	0.464	0.921	4	-3.539	1	0.0677	0.00654	0	0.127	0.461	144.127	263285	indie poptimism	pop
Be Okay	Jordan Fisher	50	Be Okay	2019-11-22	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	W0GBku	0.626	0.598	1	-7.15	1	0.0622	0.056	0	0.164	0.472	75.943	188341	indie poptimism	pop
Easy	Brad Blackburn	33	Easy	2019-11-08	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	W0GBku	0.827	0.515	3	-8.756	1	0.0421	0.22	6.13e-05	0.274	0.753	112.011	151369	indie poptimism	pop
Paper Skin	Moonfall	31	Paper Skin	2019-09-26	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	W0GBku	0.657	0.811	4	-5.437	0	0.0465	0.0665	1.41e-06	0.312	0.63	119.995	187625	indie poptimism	pop
This Must Be My Dream	The 1975	54	I like it when you sleep, for you are so beautiful yet so unaware of it	2016-02-26	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	W0GBku	0.592	0.84	9	-4.697	1	0.0364	0.0193	0.000191	0.327	0.679	103.026	252480	indie poptimism	pop
Fade Out	Seeb	68	Fade Out	2019-05-15	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	W0GBku	0.706	0.68	4	-4.65	0	0.0424	0.118	0	0.0443	0.728	105.977	196667	indie poptimism	pop
ILYSB	LANY	69	LANY	2017-06-30	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	W0GBku	0.636	0.623	5	-7.016	1	0.0603	0.468	0.00453	0.351	0.389	100.026	211150	indie poptimism	pop
See Through	The Band CAMINO	14	Daphne Blue / See Through	2019-05-14	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	W0GBku	0.577	0.811	2	-5.123	1	0.075	0.0394	0	0.11	0.666	92.002	181421	indie poptimism	pop
Crash My Car	COIN	10	Crash My Car	2019-06-13	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	W0GBku	0.244	0.645	5	-5.863	1	0.0456	0.00178	0.00574	0.301	0.529	183.577	188307	indie poptimism	pop
Buttercup	Hippo Campus	67	Landmark	2017-02-24	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	W0GBku	0.623	0.763	9	-4.412	1	0.0719	0.199	6.52e-06	0.126	0.199	108.871	226610	indie poptimism	pop
The Dance	Night Cap	30	The Dance	2019-08-05	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	W0GBku	0.621	0.769	0	-3.91	1	0.0353	0.109	0	0.133	0.566	130.05	229569	indie poptimism	pop
Your Shirt	Chelsea Cutler	44	Your Shirt	2017-02-24	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	W0GBku	0.426	0.476	2	-6.64	1	0.0741	0.185	0	0.327	0.169	179.793	232759	indie poptimism	pop
Love Me Less (feat. Quinn XCII)	MAX	78	Love Me Less (feat. Quinn XCII)	2019-04-05	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	W0GBku	0.732	0.856	11	-2.2	0	0.0929	0.0828	0	0.323	0.771	145.034	177670	indie poptimism	pop
Running Blind	Theo Kandel	37	Running Blind	2019-07-05	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	W0GBku	0.724	0.497	4	-6.397	1	0.104	0.0544	0	0.212	0.576	154.859	224613	indie poptimism	pop
Waterfalls	THE WLDLFE	48	New	2016-03-03	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	W0GBku	0.67	0.558	7	-7.615	1	0.0266	0.0572	0.0196	0.106	0.437	106.081	269119	indie poptimism	pop
Gimme	BANKS	60	III	2019-07-12	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	W0GBku	0.762	0.619	2	-5.227	0	0.102	0.501	2.19e-05	0.248	0.596	120.022	219493	indie poptimism	pop
Ways to Go	Grouplove	63	Spreading Rumours	2013-09-17	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	W0GBku	0.577	0.827	7	-7.54	1	0.0365	0.00338	0.000647	0.26	0.179	101.031	215520	indie poptimism	pop
Too Far Gone	Lost Kings	57	Too Far Gone	2019-06-07	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	W0GBku	0.619	0.833	7	-4.941	1	0.0366	0.0122	0	0.24	0.527	93.01	196953	indie poptimism	pop
OPTIMISTIC	X Ambassadors	46	OPTIMISTIC	2019-08-23	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	W0GBku	0.346	0.928	0	-5.074	1	0.0851	0.00244	0	0.685	0.416	163.949	165593	indie poptimism	pop
You And I	LEON	66	LEON	2019-03-01	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	W0GBku	0.554	0.786	9	-4.288	1	0.0491	0.0024	NA	0.148	0.358	120.057	224064	indie poptimism	pop
Summer Girl	HAIM	60	Summer Girl	2019-07-31	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	W0GBku	0.512	0.544	1	-7.953	0	0.226	0.356	0.0159	0.169	0.616	99.927	205027	indie poptimism	pop
Hold The Line - Acoustic	A R I Z O N A	53	Hold The Line (Acoustic)	2019-07-25	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	W0GBku	0.648	0.311	6	-10.847	0	0.0358	0.913	6.89e-05	0.112	0.327	90.946	195561	indie poptimism	pop
Move On	ayokay	38	we come alive. (1-3)	2019-08-09	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	W0GBku	0.712	0.677	11	-5.911	0	0.0274	0.252	0	0.185	0.514	110.001	224482	indie poptimism	pop
Talk Too Much	COIN	68	How Will You Know If You Never Try	2017-04-21	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	W0GBku	0.598	0.888	4	-5.119	1	0.0807	0.00947	0	0.347	0.482	103.966	187133	indie poptimism	pop
You Are Losing Me	Chelsea Cutler	62	You Are Losing Me	2019-09-27	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	W0GBku	0.577	0.43	7	-9.764	1	0.0714	0.224	2.53e-05	0.135	0.346	99.982	207333	indie poptimism	pop
Somebody Else	VERITE	62	Somebody Else	2016-09-09	The Sound of Indie Poptimism	phYYRj	0.674	0.593	11	-6.47	0	0.0582	0.201	0.000529	0.209	0.464	116.995	233077	indie poptimism	pop
dancing around	flor	62	ley lines	2019-09-06	The Sound of Indie Poptimism	phYYRj	0.726	0.657	10	-7.066	0	0.0327	0.00765	0.000248	0.0975	0.629	114.996	235707	indie poptimism	pop
Middle Finger	Phoebe Ryan	58	Middle Finger	2018-06-08	The Sound of Indie Poptimism	phYYRj	0.704	0.664	9	-3.209	0	0.0468	0.141	0	0.107	0.533	99.963	241893	indie poptimism	pop
Girls Your Age	Transviolet	51	Transviolet	2015-09-18	The Sound of Indie Poptimism	phYYRj	0.427	0.398	0	-9.553	0	0.0536	0.453	0.00479	0.0903	0.114	139.249	208053	indie poptimism	pop
yes & no	XYLO	61	yes & no	2019-05-31	The Sound of Indie Poptimism	phYYRj	0.835	0.505	8	-5.834	0	0.168	0.286	0.00219	0.198	0.665	118.021	178983	indie poptimism	pop
Waves	Luna Shadows	45	Waves	2019-07-29	The Sound of Indie Poptimism	phYYRj	0.564	0.826	8	-5.534	0	0.0707	0.176	4.21e-06	0.169	0.417	121.984	218361	indie poptimism	pop
Do Right	Glades	44	To Love You	2018-11-02	The Sound of Indie Poptimism	phYYRj	0.749	0.688	3	-6.446	1	0.0289	0.0504	0	0.0902	0.668	106.991	197240	indie poptimism	pop
Reckless Lover - Acoustic	Handsome Ghost	50	Reckless Lover (Acoustic)	2018-03-09	The Sound of Indie Poptimism	phYYRj	0.633	0.222	10	-10.381	1	0.0301	0.855	0	0.107	0.61	111.411	240579	indie poptimism	pop
Dancing On Glass	St. Lucia	58	Matter	2016-01-29	The Sound of Indie Poptimism	phYYRj	0.564	0.945	1	-4.705	1	0.0493	0.0189	0	0.359	0.399	101.003	246333	indie poptimism	pop
Wanna Be	Betty Who	52	The Valley	2017-03-24	The Sound of Indie Poptimism	phYYRj	0.665	0.715	4	-4.887	1	0.0518	0.09	0	0.14	0.379	98.967	210907	indie poptimism	pop
Reflections	MisterWives	62	Our Own House	2015-02-24	The Sound of Indie Poptimism	phYYRj	0.682	0.676	2	-5.46	1	0.0291	0.0226	0.0164	0.101	0.604	111.008	186440	indie poptimism	pop
Cain	EXES	56	Cain	2017-06-02	The Sound of Indie Poptimism	phYYRj	0.467	0.453	1	-9.703	1	0.0469	0.402	1.28e-05	0.213	0.252	199.79	216000	indie poptimism	pop
All of the People	Panama Wedding	46	Parallel Play	2014-01-01	The Sound of Indie Poptimism	phYYRj	0.693	0.67	5	-5.917	0	0.0518	0.0317	0.00195	0.0661	0.929	89.98	215907	indie poptimism	pop
Only Us	Paperwhite	43	Only Us	2017-05-11	The Sound of Indie Poptimism	phYYRj	0.398	0.73	1	-5.98	1	0.0671	0.00594	0.0257	0.0673	0.212	98.594	204000	indie poptimism	pop
So I Met Someone	VHS Collection	53	So I Met Someone	2017-05-25	The Sound of Indie Poptimism	phYYRj	0.605	0.725	0	-5.854	1	0.0344	0.0461	1.93e-05	0.121	0.559	88.979	220667	indie poptimism	pop
Love Me Wrong	Allie X	66	Love Me Wrong	2019-12-06	The Sound of Indie Poptimism	phYYRj	0.46	0.458	2	-7.912	1	0.031	0.576	0	0.0925	0.104	97.15	192907	indie poptimism	pop
Let Go	RAC	53	Strangers	2014-01-01	The Sound of Indie Poptimism	phYYRj	0.746	0.84	5	-5.891	1	0.0331	0.0917	0.0156	0.351	0.734	110	280120	indie poptimism	pop
Peach	Broods	60	Dont Feed The Pop Monster	2019-02-01	The Sound of Indie Poptimism	phYYRj	0.688	0.738	5	-4.831	1	0.0404	0.0085	3.54e-05	0.258	0.251	111.013	255397	indie poptimism	pop
I Wear Glasses	Mating Ritual	51	How You Gonna Stop It?	2017-06-09	The Sound of Indie Poptimism	phYYRj	0.401	0.877	10	-3.303	1	0.0694	0.065	0.0463	0.321	0.343	148.009	214071	indie poptimism	pop
Ghosts	Scavenger Hunt	39	Ghosts	2017-12-22	The Sound of Indie Poptimism	phYYRj	0.669	0.719	8	-7.227	0	0.0298	0.0237	0.0138	0.102	0.326	118.006	228160	indie poptimism	pop
Reasons Not To Die - Demo	Ryn Weaver	53	Reasons Not To Die (Demo)	2018-09-14	The Sound of Indie Poptimism	phYYRj	0.57	0.376	4	-9.932	1	0.0302	0.73	0	0.127	0.248	130.147	220629	indie poptimism	pop
Little Games - St. Lucia Remix	The Colourist	46	Inversions	2013-10-28	The Sound of Indie Poptimism	phYYRj	0.571	0.728	7	-8.901	0	0.104	0.00293	0.228	0.112	0.571	110.541	273400	indie poptimism	pop
Million Bucks	Smallpools	61	Million Bucks	2017-06-09	The Sound of Indie Poptimism	phYYRj	0.608	0.865	1	-3.961	0	0.0451	0.00602	0	0.127	0.568	100.026	239893	indie poptimism	pop
Do Me Like That	Penguin Prison	49	Turn It Up	2018-02-09	The Sound of Indie Poptimism	phYYRj	0.61	0.82	9	-5.035	1	0.0332	0.101	1.78e-06	0.212	0.773	152.091	195067	indie poptimism	pop
Twenty Something - Stripped Sessions	Nightly	61	Twenty Something/No Call, No Reply (Stripped Sessions)	2019-05-24	The Sound of Indie Poptimism	phYYRj	0.598	0.429	8	-11.145	1	0.0368	0.107	0.00936	0.0849	0.0568	99.933	261527	indie poptimism	pop
Gravity	Ralph	46	Gravity	2019-07-03	The Sound of Indie Poptimism	phYYRj	0.754	0.668	0	-4.054	0	0.0392	0.366	4.93e-06	0.111	0.765	117.947	203095	indie poptimism	pop
Ocean	Ella Vos	61	Ocean	2018-12-07	The Sound of Indie Poptimism	phYYRj	0.471	0.361	11	-10.903	1	0.0281	0.0152	0.000509	0.143	0.0674	87.819	210503	indie poptimism	pop
Nice Guy	courtship.	52	Denial in Paradise	2018-05-11	The Sound of Indie Poptimism	phYYRj	0.516	0.74	6	-4.879	1	0.0418	0.000821	1.11e-06	0.142	0.515	108.986	161600	indie poptimism	pop
Gold	Kiiara	61	Gold	2015-10-26	The Sound of Indie Poptimism	phYYRj	0.6	0.412	8	-9.343	1	0.344	0.615	0.0025	0.134	0.408	113.049	225882	indie poptimism	pop
Awa Ni	The Knocks	55	Awa Ni	2019-06-21	The Sound of Indie Poptimism	phYYRj	0.667	0.818	1	-6.167	0	0.131	0.0358	0.000117	0.329	0.43	119.005	219777	indie poptimism	pop
Paris	Magic Man	43	Before the Waves	NA	The Sound of Indie Poptimism	phYYRj	0.472	0.881	2	-5.252	1	0.0524	0.0876	0	0.0698	0.502	178.858	232747	indie poptimism	pop
Silhouette	Goldroom	50	West Of The West	2016-09-23	The Sound of Indie Poptimism	phYYRj	0.715	0.641	0	-7.008	1	0.0391	0.0827	0.125	0.122	0.222	115.014	268040	indie poptimism	pop
No One - Kayge Calypso & DUNN Remix	Mothica	56	Majestic Casual - Chapter 3	2016-07-01	The Sound of Indie Poptimism	phYYRj	0.745	0.571	0	-8.951	1	0.26	0.663	0	0.371	0.319	129.934	212308	indie poptimism	pop
YDLM	The Griswolds	52	High Times For Low Lives	2016-11-11	The Sound of Indie Poptimism	phYYRj	0.826	0.86	10	-3.902	1	0.0685	0.0349	5.37e-06	0.104	0.763	120.017	192107	indie poptimism	pop
Free Animal	Foreign Air	61	Free Animal	2015-11-17	The Sound of Indie Poptimism	phYYRj	0.579	0.584	5	-7.151	0	0.0438	0.0856	0	0.0958	0.393	80.001	180400	indie poptimism	pop
Bullet	Chelsea Lankes	37	Bullet	2016-04-08	The Sound of Indie Poptimism	phYYRj	0.819	0.881	7	-2.912	1	0.0476	0.0868	0.025	0.393	0.844	122.966	184521	indie poptimism	pop
Lovers	Anna of the North	59	Lovers	2017-09-08	The Sound of Indie Poptimism	phYYRj	0.599	0.518	8	-7.902	1	0.0333	0.479	0.00435	0.136	0.455	95.031	215773	indie poptimism	pop
Heavy	POWERS	57	Heavy	2017-02-24	The Sound of Indie Poptimism	phYYRj	0.739	0.689	4	-3.726	0	0.0468	0.00563	5.39e-06	0.102	0.897	102.018	234356	indie poptimism	pop
Dreamers	Savoir Adore	46	Our Nature	NA	The Sound of Indie Poptimism	phYYRj	0.603	0.892	3	-6.052	1	0.0319	0.0811	0.000179	0.0873	0.656	102.516	249261	indie poptimism	pop
Hypnotic	Zella Day	63	Kicker	2015-01-01	The Sound of Indie Poptimism	phYYRj	0.637	0.724	6	-5.151	0	0.0403	0.119	0	0.299	0.414	80.982	176787	indie poptimism	pop
Come Home To Me	LEON	69	LEON	2019-03-01	The Sound of Indie Poptimism	phYYRj	0.66	0.193	11	-8.904	1	0.0725	0.953	0	0.0953	0.296	82.035	225868	indie poptimism	pop
i loved you first	joan	60	i loved you first	2018-03-21	The Sound of Indie Poptimism	phYYRj	0.556	0.276	0	-9.603	1	0.0269	0.0862	6.89e-06	0.0999	0.216	75.02	227068	indie poptimism	pop
Up We Go	Lights	48	Midnight Machines	2016-04-08	The Sound of Indie Poptimism	phYYRj	0.657	0.384	4	-12.259	1	0.0422	0.882	0.00227	0.114	0.374	123.953	339560	indie poptimism	pop
Breaking Up My Bones	Vinyl Theatre	55	Electrogram	2014-09-23	The Sound of Indie Poptimism	phYYRj	0.608	0.899	2	-3.185	1	0.0392	0.0125	0	0.211	0.652	105.032	185429	indie poptimism	pop
All Over	CRUISR	54	All Over	NA	The Sound of Indie Poptimism	phYYRj	0.552	0.931	2	-5.166	1	0.053	0.00836	NA	0.0551	0.666	158.036	182653	indie poptimism	pop
Carry On - Acoustic	Young Rising Sons	51	Carry On (Acoustic)	2017-03-03	The Sound of Indie Poptimism	phYYRj	0.675	0.195	7	-13.465	0	0.0346	0.868	2.03e-06	0.126	0.275	91.935	207880	indie poptimism	pop
Over That	Emily Vaughn	44	Over That	2017-10-27	The Sound of Indie Poptimism	phYYRj	0.805	0.429	6	-7.398	1	0.0512	0.222	2.2e-06	0.365	0.553	107.009	205371	indie poptimism	pop
Visions	So Below	40	II	2018-03-09	The Sound of Indie Poptimism	phYYRj	0.588	0.651	5	-7.517	0	0.0249	0.00141	0.00725	0.53	0.32	90.493	235906	indie poptimism	pop
I Wanna Get Better	Bleachers	65	Strange Desire	2014-07-11	The Sound of Indie Poptimism	phYYRj	0.446	0.915	9	-6.221	1	0.141	0.00281	3.87e-05	0.218	0.398	190.013	204520	indie poptimism	pop
We Come Running	Youngblood Hawke	51	Youngblood Hawke	2012-01-01	The Sound of Indie Poptimism	phYYRj	0.561	0.736	10	-7.014	1	0.041	0.000287	0.00303	0.118	0.31	124.983	248600	indie poptimism	pop
Happy With Me	HOLYCHILD	47	Mindspeak	2014-08-25	The Sound of Indie Poptimism	phYYRj	0.795	0.65	9	-5.357	0	0.0715	0.0201	4.12e-05	0.148	0.919	174.953	169253	indie poptimism	pop
Work It Out	Knox Hamilton	48	The Heights	2017-03-10	The Sound of Indie Poptimism	phYYRj	0.396	0.818	8	-4.306	0	0.0352	0.0112	1.98e-06	0.199	0.359	162.061	206520	indie poptimism	pop
Magic	Boh Doran	30	Magic (feat. Daer)	2019-10-18	The Sound of Indie Poptimism	phYYRj	0.68	0.682	0	-6.234	1	0.0284	0.00253	0.0412	0.0961	0.672	129.995	169930	indie poptimism	pop
Dive In	kwassa	45	Wildlife	2017-03-10	The Sound of Indie Poptimism	phYYRj	0.708	0.78	8	-8.377	1	0.0585	0.248	0.0101	0.107	0.619	104.973	200637	indie poptimism	pop
All For You	Night Riots	50	Love Gloom	2017-03-07	The Sound of Indie Poptimism	phYYRj	0.475	0.881	2	-3.207	1	0.0573	0.0103	2.54e-06	0.074	0.426	140.912	235334	indie poptimism	pop
Take My Breath Away	EZI	51	Take My Breath Away	2019-02-14	The Sound of Indie Poptimism	phYYRj	0.717	0.616	8	-6.598	1	0.0903	0.0741	NA	0.367	0.354	102.981	158447	indie poptimism	pop
A Toast and a Spirit	Vacation Manor	55	Girl, Say	2016-04-23	The Sound of Indie Poptimism	phYYRj	0.61	0.824	9	-5.217	1	0.0347	0.014	1.69e-05	0.138	0.472	128.025	209453	indie poptimism	pop
Cecilia And The Satellite	Andrew McMahon in the Wilderness	60	Andrew McMahon In The Wilderness	2014-10-14	The Sound of Indie Poptimism	phYYRj	0.381	0.844	5	-7.123	1	0.144	0.0131	0	0.318	0.239	194	223880	indie poptimism	pop
Filthy Rich	Evalyn	43	Filthy Rich	2017-02-13	The Sound of Indie Poptimism	phYYRj	0.607	0.55	3	-6.278	0	0.0435	0.785	0	0.101	0.0857	124.861	215107	indie poptimism	pop
Lost City	Brett	40	Lost City	2016-08-26	The Sound of Indie Poptimism	phYYRj	0.479	0.909	2	-5.855	1	0.0616	0.19	1.68e-06	0.147	0.264	119.983	312250	indie poptimism	pop
Good Together	The Runaway Club	35	The Runaway Club	2014-03-04	The Sound of Indie Poptimism	phYYRj	0.708	0.894	0	-3.38	1	0.0313	0.00128	6.47e-06	0.109	0.886	126.032	234842	indie poptimism	pop
Stay	Hotel Apache	44	Ill Explain Later	2017-06-12	The Sound of Indie Poptimism	phYYRj	0.623	0.852	0	-6.004	1	0.0441	0.0124	0	0.129	0.789	108.007	207778	indie poptimism	pop
Keep Together	Hunter Hunted	40	Ready For You	2015-07-10	The Sound of Indie Poptimism	phYYRj	0.553	0.851	3	-4.731	1	0.0415	0.00342	0.045	0.244	0.723	147.989	207880	indie poptimism	pop
Burning House (feat. Aaron Krause)	EZA	40	Burning House (feat. Aaron Krause)	NA	The Sound of Indie Poptimism	phYYRj	0.445	0.415	11	-9.829	1	0.0418	0.476	0.000132	0.114	0.15	135.61	251559	indie poptimism	pop
Take Me Out	Young Summer	36	Take Me Out	2019-10-18	The Sound of Indie Poptimism	phYYRj	0.392	0.135	7	-16.906	0	0.0366	0.906	3.61e-06	0.364	0.0683	127.951	221063	indie poptimism	pop
Adderall	Max Frost	61	Adderall	2016-10-14	The Sound of Indie Poptimism	phYYRj	0.681	0.891	6	-4.28	1	0.0408	0.000672	1.07e-06	0.0631	0.556	100.008	218025	indie poptimism	pop
Cuddle Up	Catey Shaw	48	Cuddle Up	2014-11-27	The Sound of Indie Poptimism	phYYRj	0.692	0.703	0	-5.195	1	0.0308	0.108	0	0.109	0.496	124.989	213665	indie poptimism	pop
Intro	The xx	72	xx	2009-08-16	Indie/Jazz Poptimism	PFXkze	0.617	0.778	9	-8.871	0	0.027	0.459	0.925	0.128	0.152	100.363	127920	indie poptimism	pop
Crystalised	The xx	66	xx	2009-08-16	Indie/Jazz Poptimism	PFXkze	0.763	0.484	11	-12.368	0	0.0311	0.812	0.393	0.0841	0.416	122.913	201947	indie poptimism	pop
Awake	Electric Guest	44	Mondo	2012-04-23	Indie/Jazz Poptimism	PFXkze	0.566	0.593	11	-7.348	1	0.0349	0.0206	0.0654	0.121	0.806	111.001	300867	indie poptimism	pop
Dear to Me	Electric Guest	51	Plural	2017-03-31	Indie/Jazz Poptimism	PFXkze	0.731	0.563	1	-7.62	1	0.0381	0.0551	0.0605	0.0571	0.611	117.7	241480	indie poptimism	pop
Someone That Loves You	HONNE	61	Warm On A Cold Night (Deluxe)	2016-07-13	Indie/Jazz Poptimism	PFXkze	0.531	0.728	6	-4.985	0	0.063	0.0416	7.19e-06	0.135	0.418	104.978	244959	indie poptimism	pop
Without You	Oh Wonder	4	Oh Wonder	2015-09-04	Indie/Jazz Poptimism	PFXkze	0.637	0.476	11	-7.135	0	0.058	0.249	1.07e-06	0.115	0.265	87.019	224740	indie poptimism	pop
Blood Red Moon (Demo)	The xx	43	Basic Space	2009-08-02	Indie/Jazz Poptimism	PFXkze	0.781	0.456	0	-10.837	1	0.0431	0.82	0.786	0.0784	0.229	119.988	133267	indie poptimism	pop
Tessellate	alt-J	59	An Awesome Wave	2012-05-28	Indie/Jazz Poptimism	PFXkze	0.683	0.613	2	-6.478	1	0.0433	0.378	NA	0.119	0.42	116.911	182667	indie poptimism	pop
The Look	Metronomy	69	The English Riviera	2011-04-11	Indie/Jazz Poptimism	PFXkze	0.638	0.535	9	-7.792	0	0.0415	0.623	NA	0.0837	0.504	84.947	277653	indie poptimism	pop
La Ciudad	ODESZA	54	A Moment Apart	2017-09-08	Indie/Jazz Poptimism	PFXkze	0.663	0.84	9	-5.618	0	0.0453	0.00534	0.342	0.169	0.2	108.022	271136	indie poptimism	pop
Cherry	Jungle	42	Cherry	2018-07-26	Indie/Jazz Poptimism	PFXkze	0.613	0.427	8	-8.324	1	0.221	0.889	0.0279	0.129	0.467	82.523	196139	indie poptimism	pop
